Testcase_Number Left_Coin_Pile Right_Coin_Pile Computation_Time Number_of_Coins
1062 0 0 0 6
1063 0 0 0 6
1064 12,25,5 17,21,4 0 6
1065 17,22 7,9,7,16 0 6
1066 0 0 0 6
1067 0 0 0 6
1068 12,22,5 16,16,7 0 6
1069 0 0 0 6
1070 0 0 0 6
1071 2,12,18,5 15,22 0 6
1072 0 0 0 6
1073 3,25,8 25,6,5 0 6
1074 0 0 999000 6
1075 0 0 0 6
1076 17,12 4,11,7,7 0 6
1077 0 0 0 6
1078 0 0 0 6
1079 0 0 0 6
1080 0 0 0 6
1081 0 0 0 6
1082 0 0 0 6
1083 0 0 0 6
1084 0 0 0 6
1085 0 0 0 6
1086 0 0 0 6
1087 24,3,9 5,22,9 0 6
1088 22,4,11 18,16,3 0 6
1089 0 0 0 6
1090 0 0 0 6
1091 0 0 0 6
1092 21,18,21 14,24,22 0 6
1093 8,4,12,3 20,7 0 6
1094 0 0 0 6
1095 13,7,17 22,11,4 0 6
1096 15,8,19 5,13,24 0 6
1097 24,8 19,4,3,6 0 6
1098 25,19 18,13,5,8 0 6
1099 0 0 0 6
1100 0 0 0 6
1101 9,3,8,15 21,14 0 6
1102 0 0 0 6
1103 0 0 0 6
1104 0 0 0 6
1105 0 0 0 6
1106 0 0 0 6
1107 0 0 0 6
1108 0 0 0 6
1109 14,16,6,5 23,18 0 6
1110 0 0 0 6
1111 0 0 0 6
1112 0 0 0 6
1113 0 0 0 6
1114 0 0 0 6
1115 21,12,24 14,18,25 0 6
1116 0 0 0 6
1117 0 0 0 6
1118 0 0 999700 6
1119 0 0 0 6
1120 0 0 0 6
1121 7,21,16 24,11,9 0 6
1122 0 0 0 6
1123 0 0 0 6
1124 0 0 0 6
1125 7,19,19 11,21,13 0 6
1126 0 0 0 6
1127 0 0 0 6
1128 0 0 0 6
1129 0 0 0 6
1130 0 0 0 6
1131 0 0 0 6
1132 0 0 0 6
1133 0 0 0 6
1134 0 0 0 6
1135 24,11,21 23,22,11 0 6
1136 0 0 0 6
1137 11,23 9,9,9,7 0 6
1138 0 0 548100 6
1139 0 0 0 6
1140 16,24,6 5,16,25 0 6
1141 0 0 0 6
1142 0 0 0 6
1143 0 0 0 6
1144 0 0 0 6
1145 0 0 0 6
1146 0 0 0 6
1147 0 0 0 6
1148 25,8,3 14,20,2 0 6
1149 0 0 0 6
1150 11,7,16,12 21,25 0 6
1151 0 0 0 6
1152 0 0 0 6
1153 0 0 0 6
1154 0 0 0 6
1155 0 0 0 6
1156 0 0 0 6
1157 6,5,4,18 16,17 0 6
1158 0 0 0 6
1159 0 0 0 6
1160 15,13,19 20,18,9 0 6
1161 0 0 0 6
1162 6,7,17 16,3,11 0 6
1163 0 0 0 6
1164 0 0 0 6
1165 0 0 0 6
1166 0 0 0 6
1167 0 0 0 6
1168 0 0 0 6
1169 6,13,23 7,13,22 0 6
1170 0 0 0 6
1171 0 0 0 6
1172 22,17 17,7,5,10 0 6
1173 0 0 0 6
1174 13,2,10,13 18,20 0 6
1175 3,14,2,8 18,9 0 6
1176 14,25,10 4,24,21 0 6
1177 4,3,13,19 24,15 0 6
1178 9,9,7,7 11,21 1064100 6
1179 0 0 0 6
1180 0 0 0 6
1181 9,12,7 15,8,5 0 6
1182 0 0 0 6
1183 0 0 0 6
1184 0 0 0 6
1185 20,11,8 20,13,6 0 6
1186 0 0 0 6
1187 0 0 0 6
1188 0 0 0 6
1189 0 0 0 6
1190 0 0 0 6
1191 0 0 0 6
1192 0 0 0 6
1193 0 0 0 6
1194 0 0 0 6
1195 17,18,10 20,17,8 0 6
1196 0 0 0 6
1197 0 0 0 6
1198 0 0 0 6
1199 0 0 0 6
1200 0 0 0 6
1201 7,12,8,9 4,8,24 0 7
1202 19,10,14 18,4,18,3 0 7
1203 0 0 0 7
1204 0 0 0 7
1205 21,14,14 13,13,4,19 0 7
1206 2,25,16,12 24,18,13 0 7
1207 0 0 0 7
1208 17,23,14,12 24,17,25 0 7
1209 0 0 0 7
1210 14,12,5,25 22,17,17 0 7
1211 0 0 0 7
1212 0 0 0 7
1213 0 0 0 7
1214 25,13,6,10 9,23,22 0 7
1215 0 0 0 7
1216 0 0 1047800 7
1217 0 0 0 7
1218 0 0 0 7
1219 0 0 0 7
1220 14,4,24 11,17,9,5 0 7
1221 0 0 0 7
1222 0 0 0 7
1223 0 0 0 7
1224 0 0 0 7
1225 2,19,13,7 14,23,4 0 7
1226 0 0 0 7
1227 0 0 0 7
1228 0 0 0 7
1229 0 0 0 7
1230 14,21,4,15 18,16,20 0 7
1231 0 0 0 7
1232 0 0 0 7
1233 11,19,2,22 25,10,19 0 7
1234 0 0 0 7
1235 21,16,14 23,8,8,12 0 7
1236 0 0 0 7
1237 0 0 1001700 7
1238 9,10,20,6 11,24,10 0 7
1239 0 0 0 7
