Testcase_Number Left_Coin_Pile Right_Coin_Pile Computation_Time Number_of_Coins
673 0 0 1153000 9
674 0 0 0 9
675 0 0 0 9
676 0 0 0 9
677 0 0 0 9
678 0 0 1062100 9
679 25,2,11,21 7,13,9,15,15 0 9
680 0 0 0 9
681 23,25,11,11,5 20,24,12,19 0 9
682 0 0 0 9
683 25,19,17,4 22,13,3,24,3 0 9
684 0 0 0 9
685 7,9,5,9,14,13 20,20,17 0 9
686 0 0 1089200 9
687 5,15,10,6 2,8,3,11,12 0 9
688 23,5,5,17,25 10,19,25,21 0 9
689 0 0 0 9
690 23,21,5,10,15 22,9,22,21 0 9
691 5,19,3,4,21 5,7,18,22 0 9
692 10,11,17,18,9 14,20,7,24 0 9
693 14,19,20,17,20 24,25,17,24 0 9
694 0 0 0 9
695 0 0 0 9
696 0 0 0 9
697 0 0 1110200 9
698 0 0 0 9
699 0 0 0 9
700 0 0 0 9
701 0 0 0 10
702 0 0 1046200 10
703 23,20,22,16 21,5,15,25,2,13 0 10
704 0 0 0 10
705 17,20,19,8,5 18,7,24,10,10 0 10
706 0 0 1185000 10
707 0 0 0 10
708 11,17,8,7,18,17 22,25,16,15 0 10
709 0 0 0 10
710 25,6,11,16,5 22,2,6,20,13 0 10
711 18,12,21,2,15 19,13,24,10,2 0 10
712 11,21,16,5,8 4,17,3,17,20 0 10
713 0 0 0 10
714 19,11,4,16,18 5,17,22,3,21 0 10
715 0 0 1577100 10
716 24,7,17,6,2 6,23,12,2,13 0 10
717 3,14,3,8,16,2 5,7,24,10 0 10
718 0 0 548400 10
719 9,13,8,2,23 24,10,2,9,10 0 10
720 0 0 0 10
721 0 0 0 10
722 19,23,9,10,18 21,20,4,25,9 1036300 10
723 23,21,2,19,10,5 23,20,17,20 0 10
724 22,6,19,19,3 25,20,4,11,9 0 10
725 8,15,8,23,23 15,25,7,15,15 0 10
726 0 0 0 10
727 25,25,14,5 25,7,3,2,21,11 0 10
728 0 0 0 10
729 0 0 1153400 10
730 10,6,2,18,7,15 22,25,6,5 0 10
731 17,19,7,7 13,3,6,2,6,20 0 10
732 0 0 0 10
733 15,5,22,13,4,3 7,24,15,16 0 10
734 0 0 1028700 10
735 0 0 0 10
736 7,14,15,4,10,3 13,7,12,21 0 10
737 0 0 1019800 10
738 18,3,17,4,22,10 19,24,15,16 0 10
739 0 0 0 10
740 0 0 0 10
741 0 0 1238500 10
742 19,11,11,21 13,12,21,10,2,4 0 10
743 25,11,25,7,4 6,23,22,18,3 0 10
744 12,15,10,4,10,2,15 21,23,24 0 10
745 0 0 0 10
746 0 0 0 10
747 16,20,22,12,20 22,16,21,12,19 0 10
748 13,5,18,19,20 16,22,9,21,7 1008200 10
749 5,25,10,21,16,20 24,24,24,25 0 10
750 19,17,13,2,13,11 12,23,21,19 0 10
751 22,4,12,4,13,13 15,5,24,24 0 10
752 0 0 0 10
753 16,13,8,3,13,3 20,13,2,21 0 10
754 0 0 0 10
755 0 0 1074300 10
756 13,9,23,9,22 9,17,24,17,9 0 10
757 0 0 0 10
758 22,18,11,9,13 17,23,5,7,21 0 10
759 0 0 0 10
760 17,3,10,8,4,16,7 22,18,25 0 10
761 7,3,2,2,25,21 20,6,13,21 0 10
762 6,5,15,14,18,23 24,20,22,15 0 10
763 10,15,22,6,11,11 23,12,20,20 0 10
764 0 0 1497600 10
765 0 0 0 10
766 0 0 986500 10
767 0 0 0 10
768 0 0 507100 10
769 2,5,12,13,13,8 9,14,19,11 0 10
770 0 0 0 10
771 24,18,10,3,8,4 10,25,17,15 0 10
772 0 0 1276000 10
773 0 0 0 10
774 7,19,17,19,16 22,12,17,22,5 0 10
775 23,10,8,9,13 4,17,18,19,5 0 10
776 0 0 0 10
777 3,5,9,15,3,12 6,17,4,20 0 10
778 5,12,17,4,4,13 4,14,20,17 0 10
779 13,8,23,23 3,15,17,6,24,2 0 10
780 0 0 1071400 10
781 0 0 0 10
782 0 0 1013600 10
783 0 0 0 10
784 0 0 0 10
785 2,22,17,2,4,13 10,15,18,17 0 10
786 18,7,7,15,6 10,9,20,3,11 0 10
787 11,23,24,15 13,9,18,5,19,9 0 10
788 14,21,10,23 3,15,3,22,13,12 0 10
789 2,9,2,20,2,7,20 17,23,22 1001200 10
790 0 0 0 10
791 0 0 0 10
792 0 0 1138400 10
793 0 0 0 10
794 14,4,16,10,6 8,11,17,4,10 0 10
795 0 0 1007600 10
796 17,21,18,19,19 20,22,23,22,7 0 10
797 0 0 0 10
798 0 0 999100 10
799 0 0 0 10
800 0 0 0 10
801 4,9,19,12,4,20,9 18,16,24,19 0 11
802 9,11,21,11,10,12 11,2,23,19,19 0 11
803 0 0 1129800 11
804 0 0 1012500 11
